start,end,total
114,96539,96425
96565,194894,98329
194914,292543,97629
292563,391242,98679
391265,489183,97918
489202,588289,99087
588307,686797,98490
686816,784910,98094
784928,883642,98714
883659,982221,98562
982242,1079813,97571
1079832,1178703,98871
1178721,1277646,98925
1277667,1376274,98607
1376294,1475115,98821
1475134,1573511,98377
1573528,1672160,98632
1672180,1769939,97759
1769958,1868160,98202
1868179,1966446,98267
1966465,2065539,99074
2065561,2164722,99161
2164746,2264382,99636
2264405,2362774,98369
2362792,2462524,99732
2462545,2560498,97953
2560516,2659055,98539
2659074,2757420,98346
2757439,2856001,98562
2856020,2953591,97571
2953610,3051591,97981
3051612,3150193,98581
3150216,3248106,97890
3248135,3346343,98208
3346363,3444947,98584
3444967,3543852,98885
3543871,3642185,98314
3642204,3740068,97864
3740086,3838192,98106
3838210,3936688,98478
3936707,4035174,98467
4035195,4133469,98274
4133488,4231798,98310
4231819,4329357,97538
4329375,4428053,98678
4428073,4526778,98705
4526796,4624562,97766
4624580,4722890,98310
4722910,4821378,98468
4821380,4920835,99455
