start,end,total
78,8300,8222
8301,16084,7783
16085,23910,7825
23910,31727,7817
31728,39579,7851
39581,47396,7815
47397,55118,7721
55120,63182,8062
63183,71012,7829
71012,78861,7849
78863,86606,7743
86608,94491,7883
94491,102278,7787
102279,110568,8289
110569,118575,8006
118576,126513,7937
126514,134195,7681
134196,142117,7921
142120,149884,7764
149886,157831,7945
157833,165619,7786
165620,173506,7886
173510,181351,7841
181352,189315,7963
189317,197183,7866
197185,205162,7977
205164,213109,7945
213113,220929,7816
220930,228848,7918
228849,236669,7820
236671,244582,7911
244583,252532,7949
252533,260336,7803
260337,268297,7960
268297,276077,7780
276079,284048,7969
284049,291856,7807
291856,299678,7822
299679,307417,7738
307418,315499,8081
315500,323398,7898
323400,331268,7868
331269,339225,7956
339226,346961,7735
346964,354853,7889
354853,362654,7801
362655,370597,7942
370598,378451,7853
378452,386350,7898
386351,394184,7833
