start,end,total
84,7883,7799
7886,15526,7640
15528,23376,7848
23379,31129,7750
31130,38802,7672
38804,46361,7557
46364,54101,7737
54102,61728,7626
61731,69261,7530
69263,77003,7740
77005,84708,7703
84710,92497,7787
92499,100108,7609
100108,107734,7626
107735,115845,8110
115847,123516,7669
123516,131079,7563
131081,138623,7542
138624,146313,7689
146315,153907,7592
153908,161404,7496
161406,168984,7578
168985,176583,7598
176585,184164,7579
184165,191867,7702
191869,199499,7630
199501,207071,7570
207072,214671,7599
214672,222264,7592
222265,229848,7583
229849,237559,7710
237559,245155,7596
245155,252684,7529
252687,260209,7522
260211,267841,7630
267841,275355,7514
275356,282958,7602
282959,290553,7594
290554,298215,7661
298217,305807,7590
305810,313521,7711
313521,321028,7507
321030,328589,7559
328589,336169,7580
336171,343783,7612
343784,351428,7644
351430,359009,7579
359011,366618,7607
366620,374326,7706
374327,381877,7550
