start,end,total
76,513,437
516,764,248
766,984,218
985,1227,242
1230,1460,230
1462,1663,201
1665,1866,201
1867,2072,205
2074,2272,198
2272,2523,251
2527,2764,237
2765,3027,262
3028,3257,229
3257,3471,214
3472,3683,211
3683,3889,206
3890,4099,209
4101,4314,213
4315,4526,211
4527,4734,207
4735,5005,270
5009,5265,256
5269,5487,218
5489,5706,217
5707,5922,215
5923,6126,203
6127,6324,197
6327,6548,221
6548,6764,216
6766,6974,208
6976,7196,220
7197,7406,209
7410,7622,212
7623,7831,208
7832,8040,208
8043,8252,209
8253,8462,209
8463,8667,204
8667,8874,207
8877,9080,203
9081,9289,208
9289,9504,215
9505,9753,248
9756,9996,240
9997,10196,199
10197,10397,200
10398,10613,215
10616,10839,223
10839,11068,229
11068,11268,200
