start,end,total
75,3449,3374
3489,6783,3294
6785,10049,3264
10054,13432,3378
13437,16655,3218
16659,20062,3403
20066,23259,3193
23262,26393,3131
26397,30023,3626
30029,33228,3199
33233,36490,3257
36494,39908,3414
39913,43313,3400
43316,46412,3096
46415,49868,3453
49875,53025,3150
53028,56546,3518
56550,59865,3315
59869,63199,3330
63203,66508,3305
66511,69901,3390
69903,73092,3189
73096,76495,3399
76499,79832,3333
79836,83130,3294
83133,86363,3230
86368,89600,3232
89603,93066,3463
93069,96371,3302
96373,99695,3322
99700,103077,3377
103080,106533,3453
106541,110051,3510
110058,113769,3711
113772,117523,3751
117525,120980,3455
120987,124599,3612
124603,128186,3583
128191,131527,3336
131532,135076,3544
135079,138566,3487
138575,142005,3430
142015,145683,3668
145689,149110,3421
149113,152622,3509
152633,156112,3479
156116,159432,3316
159440,162982,3542
162986,166282,3296
166289,169783,3494
