start,end,total
93,3569,3476
3618,6971,3353
6975,10335,3360
10337,14251,3914
14255,17703,3448
17707,21098,3391
21102,24440,3338
24444,27829,3385
27832,31382,3550
31385,34932,3547
34936,38498,3562
38502,42083,3581
42085,45377,3292
45380,48884,3504
48888,52412,3524
52414,55979,3565
55983,59424,3441
59428,63151,3723
63158,66571,3413
66576,69946,3370
69949,73310,3361
73313,76869,3556
76874,80101,3227
80108,83535,3427
83541,86945,3404
86947,90320,3373
90324,93797,3473
93800,97108,3308
97114,100668,3554
100670,104226,3556
104231,108010,3779
108017,111960,3943
111963,115278,3315
115281,119006,3725
119010,122660,3650
122665,126560,3895
126567,129750,3183
129758,133368,3610
133372,136831,3459
136835,140258,3423
140265,143657,3392
143664,147008,3344
147013,150529,3516
150532,153967,3435
153969,157450,3481
157453,160919,3466
160920,164277,3357
164281,167903,3622
167905,171498,3593
171500,175097,3597
