start,end,total
49,17037,16988
17038,36547,19509
36550,60874,24324
60876,90211,29335
90211,121569,31358
121572,152641,31069
152642,183308,30666
183309,214377,31068
214379,244942,30563
244944,276035,31091
276038,307119,31081
307120,340323,33203
340324,371332,31008
371333,402492,31159
402493,434014,31521
434016,465704,31688
465706,496606,30900
496607,528318,31711
528319,560725,32406
560725,592878,32153
592880,624028,31148
624030,656612,32582
656613,688313,31700
688314,719890,31576
719891,751372,31481
751373,782978,31605
782981,815060,32079
815062,847569,32507
847570,878934,31364
878935,913169,34234
913171,944527,31356
944528,977750,33222
977752,1010467,32715
1010468,1043271,32803
1043273,1077643,34370
1077645,1110981,33336
1110983,1144395,33412
1144396,1176927,32531
1176927,1210023,33096
1210025,1242970,32945
1242971,1278207,35236
1278208,1312407,34199
1312407,1347021,34614
1347023,1378568,31545
1378569,1412088,33519
1412089,1445096,33007
1445098,1477958,32860
1477960,1515648,37688
1515649,1548184,32535
1548185,1581917,33732
