start,end,total
92,10676,10584
10679,20919,10240
20921,31659,10738
31661,43399,11738
43402,56429,13027
56429,70323,13894
70325,85616,15291
85619,102315,16696
102316,119407,17091
119408,135715,16307
135716,152037,16321
152038,168094,16056
168095,184343,16248
184344,200742,16398
200744,216948,16204
216951,233239,16288
233241,249640,16399
249641,265944,16303
265945,282118,16173
282119,299058,16939
299059,315974,16915
315974,333096,17122
333098,350116,17018
350117,366755,16638
366757,383507,16750
383513,400470,16957
400470,417344,16874
417345,434866,17521
434867,451786,16919
451787,468160,16373
468162,485261,17099
485262,502715,17453
502717,520215,17498
520217,537210,16993
537212,554762,17550
554765,571661,16896
571661,588719,17058
588720,605628,16908
605630,622669,17039
622672,639962,17290
639963,656755,16792
656756,673985,17229
673986,691395,17409
691397,708749,17352
708751,725936,17185
725937,742004,16067
742006,759722,17716
759724,777616,17892
777617,795566,17949
795567,811999,16432
