start,end,total
93,954,861
956,1525,569
1527,2075,548
2077,2671,594
2672,3251,579
3252,3983,731
3984,4875,891
4877,5493,616
5494,6101,607
6103,6799,696
6802,7426,624
7427,8038,611
8040,8651,611
8652,9387,735
9390,10012,622
10013,10635,622
10636,11330,694
11333,11932,599
11937,12542,605
12544,13206,662
13207,13826,619
13827,14438,611
14440,15130,690
15131,15753,622
15755,16363,608
16364,17025,661
17026,17636,610
17638,18298,660
18300,18943,643
18943,19574,631
19576,20271,695
20273,20902,629
20903,21551,648
21551,22214,663
22216,22861,645
22861,23582,721
23583,24206,623
24208,24857,649
24858,25547,689
25551,26220,669
26221,26927,706
26929,27608,679
27608,28318,710
28318,28984,666
28985,29638,653
29639,30410,771
30411,31088,677
31088,31871,783
31874,32555,681
32557,33283,726
